,Combined Print & E-Book Fiction,Hardcover Fiction,Paperback Trade Fiction,Paperback Mass-Market Fiction,E-Book Fiction,Combined Hardcover & Paperback Fiction,Combined Print & E-Book Nonfiction,Hardcover Nonfiction,Paperback Nonfiction,E-Book Nonfiction,Hardcover Advice & Misc.,Paperback Advice & Misc.,Combined Hardcover & Paperback Nonfiction,Hardcover Graphic Books,Paperback Graphic Books,Manga,Children’s Chapter Books,Children’s Paperback Books,Children’s Picture Books,Children’s Series,Hardcover Business Books,Paperback Business Books,Politics and American History
1,KILL ALEX CROSS;by James Patterson;New this week,KILL ALEX CROSS;by James Patterson;New this week,THE HELP;by Kathryn Stockett;33 weeks on the list,,,KILL ALEX CROSS;by James Patterson;,STEVE JOBS;by Walter Isaacson;4 weeks on the list,STEVE JOBS;by Walter Isaacson;4 weeks on the list,HEAVEN IS FOR REAL;by Todd Burpo with Lynn Vincent;53 weeks on the list,STEVE JOBS;by Walter Isaacson;4 weeks on the list,GUINNESS WORLD RECORDS 2012;edited by Craig Glenday;10 weeks on the list,THE FIVE LOVE LANGUAGES;by Gary Chapman;225 weeks on the list,STEVE JOBS;by Walter Isaacson;,BATMAN: NOEL;by Lee Bermejo;2 weeks on the list,"THE WALKING DEAD COMPENDIUM, VOL. 1;by Robert Kirkman and others;24 weeks on the list","SAILOR MOON, VOL. 2;by Naoko Takeuchi;New this week",THE SON OF NEPTUNE;by Rick Riordan;7 weeks on the list,THE BOOK THIEF;by Markus Zusak;219 weeks on the list,HOME FOR CHRISTMAS;by Jan Brett;3 weeks on the list,DIARY OF A WIMPY KID;written and illustrated by Jeff Kinney;149 weeks on the list,,,
2,V IS FOR VENGEANCE;by Sue Grafton;New this week,11/22/63;by Stephen King;2 weeks on the list,THE NEXT ALWAYS;by Nora Roberts;3 weeks on the list,,,11/22/63;by Stephen King;,KILLING LINCOLN;by Bill O'Reilly and Martin Dugard;8 weeks on the list,KILLING LINCOLN;by Bill O'Reilly and Martin Dugard;8 weeks on the list,THE IMMORTAL LIFE OF HENRIETTA LACKS;by Rebecca Skloot;37 weeks on the list,IMPERFECT JUSTICE;by Jeff Ashton with Lisa Pulitzer;New this week,PAULA DEEN’S SOUTHERN COOKING BIBLE;by Paula Deen with Melissa Clark;6 weeks on the list,WHAT TO EXPECT WHEN YOU'RE EXPECTING;by Heidi Murkoff and Sharon Mazel;538 weeks on the list,KILLING LINCOLN;by Bill O'Reilly and Martin Dugard;,"TWILIGHT: THE GRAPHIC NOVEL, VOL. 2;by Stephenie Meyer and Young C. Kim;6 weeks on the list","AMULET: THE LAST COUNCIL, VOL. 4;by Kazu Kibuishi;11 weeks on the list","CODENAME: SAILOR, VOL. 2;by Naoko Takeuchi;New this week",THE LEGO IDEAS BOOK;by Daniel Lipkowitz;3 weeks on the list,"THE RED PYRAMID: THE KANE CHRONICLES, BOOK ONE;by Rick Riordan and Orpheus Collar;14 weeks on the list",IF YOU GIVE A DOG A DONUT;by Laura Numeroff. Illustrated by Felicia Bond;7 weeks on the list,INHERITANCE;by Christopher Paolini;23 weeks on the list,,,
3,11/22/63;by Stephen King;2 weeks on the list,V IS FOR VENGEANCE;by Sue Grafton;New this week,THE GIRL WITH THE DRAGON TATTOO;by Stieg Larsson;126 weeks on the list,,,V IS FOR VENGEANCE;by Sue Grafton;,IMPERFECT JUSTICE;by Jeff Ashton with Lisa Pulitzer;New this week,IMPERFECT JUSTICE;by Jeff Ashton with Lisa Pulitzer;New this week,UNLIKELY FRIENDSHIPS;by Jennifer Holland;20 weeks on the list,HEAVEN IS FOR REAL;by Todd Burpo with Lynn Vincent;43 weeks on the list,GO THE -- TO SLEEP;by Adam Mansbach. Illustrated by Ricardo Cortés;24 weeks on the list,LUCKY PEACH ISSUE 2;edited by David Chang and others;New this week,HEAVEN IS FOR REAL;by Todd Burpo with Lynn Vincent;,"THE WALKING DEAD, BOOK 1;by Robert Kirkman, Tony Moore and Charlie Adlard;38 weeks on the list","THE ADVENTURES OF OOK AND GLUK, KUNG-FU CAVEMEN FROM THE FUTURE;by Dav Pilkey;15 weeks on the list","FAIRY TAIL, VOL. 16;by Hiro Mashima;New this week",EVERY THING ON IT;by Shel Silverstein;9 weeks on the list,MATCHED;by Ally Condie;9 weeks on the list,LLAMA LLAMA HOLIDAY DRAMA;by Anna Dewdney;15 weeks on the list,THE HUNGER GAMES;by Suzanne Collins;65 weeks on the list,,,
4,THE LITIGATORS;by John Grisham;4 weeks on the list,THE LITIGATORS;by John Grisham;4 weeks on the list,SING YOU HOME;by Jodi Picoult;5 weeks on the list,,,THE LITIGATORS;by John Grisham;,HEAVEN IS FOR REAL;by Todd Burpo with Lynn Vincent;43 weeks on the list,JACK KENNEDY;by Chris Matthews;3 weeks on the list,OUTLIERS;by Malcolm Gladwell;24 weeks on the list,GABBY;by Gabrielle Giffords and Mark Kelly with Jeffrey Zaslow;New this week,NEARING HOME;by Billy Graham;5 weeks on the list,THE HAPPINESS PROJECT;by Gretchen Rubin;37 weeks on the list,IMPERFECT JUSTICE;by Jeff Ashton with Lisa Pulitzer;,HABIBI;by Craig Thompson;9 weeks on the list,"THE WALKING DEAD, VOL. 1;by Robert Kirkman and Tony Moore;96 weeks on the list","SAILOR MOON, VOL. 1;by Naoko Takeuchi;8 weeks on the list",THE INVENTION OF HUGO CABRET;by Brian Selznick;90 weeks on the list,WAR HORSE;by Michael Morpurgo;2 weeks on the list,HEAVEN IS FOR REAL FOR KIDS;by Todd and Sonja Burpo. Illustrated by Wilson Ong;4 weeks on the list,HARRY POTTER;by J.K. Rowling;276 weeks on the list,,,
5,DEVIL’S GATE;by Clive Cussler and Graham Brown;New this week,DEVIL’S GATE;by Clive Cussler and Graham Brown;New this week,THE TIGER'S WIFE;by Téa Obreht;3 weeks on the list,,,DEVIL’S GATE;by Clive Cussler and Graham Brown;,GABBY;by Gabrielle Giffords and Mark Kelly with Jeffrey Zaslow;New this week,HOW I GOT THIS WAY;by Regis Philbin;New this week,____ FINISH FIRST;by Tucker Max;5 weeks on the list,KILLING LINCOLN;by Bill O'Reilly and Martin Dugard;8 weeks on the list,SPONTANEOUS HAPPINESS;by Andrew Weil;2 weeks on the list,CRAZY LOVE;by Francis Chan with Danae Yankoski;57 weeks on the list,JACK KENNEDY;by Chris Matthews;,"THE WALKING DEAD, BOOK 7;by Robert Kirkman and Charlie Adlard;5 weeks on the list",SMILE;by Raina Telgemeier;9 weeks on the list,"POKEMON BLACK AND WHITE, VOL. 4;by Hidenori Kusaka;2 weeks on the list",WONDERSTRUCK;by Brian Selznick;10 weeks on the list,THE ABSOLUTELY TRUE DIARY OF A PART-TIME INDIAN;by Sherman Alexie. Illustrated by Ellen Forney;121 weeks on the list,PRESS HERE;by Hervé Tullet;30 weeks on the list,HOUSE OF NIGHT;by P.C. Cast and Kristin Cast;135 weeks on the list,,,
6,ZERO DAY;by David Baldacci;3 weeks on the list,THE BEST OF ME;by Nicholas Sparks;6 weeks on the list,WATER FOR ELEPHANTS;by Sara Gruen;146 weeks on the list,,,THE HELP;by Kathryn Stockett;,UNBROKEN;by Laura Hillenbrand;43 weeks on the list,GABBY;by Gabrielle Giffords and Mark Kelly with Jeffrey Zaslow;New this week,THE ZOMBIE SURVIVAL GUIDE;by Max Brooks;34 weeks on the list,THEN AGAIN;by Diane Keaton;New this week,HARRY POTTER PAGE TO SCREEN-THE COMPLETE FILMMAKING JOURNEY;by Bob McCabe;3 weeks on the list,EAT TO LIVE;by Joel Fuhrman;22 weeks on the list,GABBY;by Gabrielle Giffords and Mark Kelly with Jeffrey Zaslow;,HARK! A VAGRANT;by Kate Beaton;8 weeks on the list,THE ZOMBIE SURVIVAL GUIDE: RECORDED ATTACKS;by Max Brooks;30 weeks on the list,"DOGS, VOL. 6;by Shirow Miwa;2 weeks on the list",THE LOST HERO;by Rick Riordan;55 weeks on the list,THIRTEEN REASONS WHY;by Jay Asher;23 weeks on the list,THE BIPPOLO SEED AND OTHER LOST STORIES;by Dr. Seuss;8 weeks on the list,DORK DIARIES;by Rachel Renée Russell;23 weeks on the list,,,
7,THE BEST OF ME;by Nicholas Sparks;6 weeks on the list,ZERO DAY;by David Baldacci;3 weeks on the list,CUTTING FOR STONE;by Abraham Verghese;95 weeks on the list,,,THE BEST OF ME;by Nicholas Sparks;,JACK KENNEDY;by Chris Matthews;3 weeks on the list,UNBROKEN;by Laura Hillenbrand;53 weeks on the list,THE GLASS CASTLE;by Jeannette Walls;246 weeks on the list,UNBROKEN;by Laura Hillenbrand;43 weeks on the list,EVERY DAY A FRIDAY;by Joel Osteen;10 weeks on the list,FORKS OVER KNIVES;edited by Gene Stone;14 weeks on the list,UNBROKEN;by Laura Hillenbrand;,"SAGA OF THE SWAMP THING, VOL. 6;by Alan Moore and others;New this week",V FOR VENDETTA;by Alan Moore and David Lloyd;68 weeks on the list,"BLACK BIRD, VOL. 11;by Kanoko Sakurakoji;3 weeks on the list",LEGO STAR WARS CHARACTER ENCYCLOPEDIA;by Hannah Dolan and others;8 weeks on the list,I AM NUMBER FOUR;by Pittacus Lore;13 weeks on the list,A BAD KITTY CHRISTMAS;by Nick Bruel;2 weeks on the list,THE TWILIGHT SAGA;by Stephenie Meyer;195 weeks on the list,,,
8,THE NEXT ALWAYS;by Nora Roberts;3 weeks on the list,THE OLD REPUBLIC: REVAN;by Drew Karpyshyn;New this week,SARAH’S KEY;by Tatiana de Rosnay;142 weeks on the list,,,THE NEXT ALWAYS;by Nora Roberts;,THEN AGAIN;by Diane Keaton;New this week,BACK TO WORK;by Bill Clinton;2 weeks on the list,MONEYBALL;by Michael Lewis;30 weeks on the list,THROW THEM ALL OUT;by Peter Schweizer;New this week,GREAT BY CHOICE;by Jim Collins and Morten T. Hansen;6 weeks on the list,AWKWARD FAMILY PET PHOTOS;by Mike Bender and Doug Chernack;3 weeks on the list,BACK TO WORK;by Bill Clinton;,JOE THE BARBARIAN: DELUXE EDITION;by Grant Morrison and Sean Murphy;2 weeks on the list,BATMAN: HUSH;by Jeph Loeb and Jim Lee;18 weeks on the list,"RIN-NE, VOL. 7;by Rumiko Takahashi;2 weeks on the list",MISS PEREGRINE'S HOME FOR PECULIAR CHILDREN;by Ransom Riggs and Cassandra Jean;24 weeks on the list,CLOCKWORK ANGEL;by Cassandra Clare;7 weeks on the list,I WANT MY HAT BACK;by Jon Klassen;New this week,PERCY JACKSON & THE OLYMPIANS;by Rick Riordan;227 weeks on the list,,,
9,THE HELP;by Kathryn Stockett;40 weeks on the list,THE CHRISTMAS WEDDING;by James Patterson and Richard DiLallo;5 weeks on the list,THE ART OF RACING IN THE RAIN;by Garth Stein;128 weeks on the list,,,ZERO DAY;by David Baldacci;,HOW I GOT THIS WAY;by Regis Philbin;New this week,THEN AGAIN;by Diane Keaton;New this week,EMPIRE OF THE SUMMER MOON;by S.C. Gwynne;28 weeks on the list,IS EVERYONE HANGING OUT WITHOUT ME?;by Mindy Kaling;3 weeks on the list,THE 17 DAY DIET;by Mike Moreno;36 weeks on the list,CLARK HOWARD'S LIVING LARGE IN LEAN TIMES;by Clark Howard;10 weeks on the list,HOW I GOT THIS WAY;by Regis Philbin;,HELLBOY: HOUSE OF THE LIVING DEAD;by Mike Mignola and Richard Corben;New this week,ALAN MOORE'S NEONOMICON;by Alan Moore and Jacen Burrows;2 weeks on the list,"ARISA, VOL. 5;by Natsumi Ando;New this week",CROSSED;by Ally Condie;3 weeks on the list,THEODORE BOONE: KID LAWYER;by John Grisham;28 weeks on the list,"GOODNIGHT, GOODNIGHT, CONSTRUCTION SITE;by Sherri Duskey Rinker and Tom Lichtenheld;7 weeks on the list",IVY AND BEAN;by Annie Barrows. Illustrated by Sophie Blackall;New this week,,,
10,THE GIRL WITH THE DRAGON TATTOO;by Stieg Larsson;14 weeks on the list,1Q84;by Haruki Murakami;4 weeks on the list,THE ALCHEMIST;by Paulo Coelho;203 weeks on the list,,,SMOKIN’ SEVENTEEN;by Janet Evanovich;,BACK TO WORK;by Bill Clinton;2 weeks on the list,NO HIGHER HONOR;by Condoleezza Rice;3 weeks on the list,"I, STEVE;edited by George Beahm;4 weeks on the list",CATHERINE THE GREAT;by Robert K. Massie;2 weeks on the list,BAKING WITH THE CAKE BOSS;by Buddy Valastro;3 weeks on the list,F IN EXAMS;by Richard Benson;2 weeks on the list,THEN AGAIN;by Diane Keaton;,FLASHPOINT;by Geoff Johns and Andy Kubert;3 weeks on the list,THE ODYSSEY;by Gareth Hinds;4 weeks on the list,"UNTIL THE FULL MOON, VOL. 5;by Sanami Matoh;New this week",DARTH PAPER STRIKES BACK: AN ORIGAMI YODA BOOK;by Tom Angleberger;13 weeks on the list,BEFORE I FALL;by Lauren Oliver;New this week,THE ARTIST WHO PAINTED A BLUE HORSE;by Eric Carle;7 weeks on the list,MAGIC TREE HOUSE;by Mary Pope Osborne. Illustrated by Sal Murdocca;250 weeks on the list,,,
11,UNFINISHED BUSINESS;by Nora Roberts;3 weeks on the list,THE SNOW ANGEL;by Glenn Beck;4 weeks on the list,SILVER GIRL;by Elin Hilderbrand;2 weeks on the list,,,THE OLD REPUBLIC: REVAN;by Drew Karpyshyn;,THROW THEM ALL OUT;by Peter Schweizer;New this week,NEW NEW RULES;by Maher Bill;New this week,CLEOPATRA;by Stacy Schiff;11 weeks on the list,BOOMERANG;by Michael Lewis;7 weeks on the list,RIPLEY'S BELIEVE IT OR NOT! STRIKINGLY TRUE;by Geoff Tibballs;,RADICAL;by David Platt;,NO HIGHER HONOR;by Condoleezza Rice;,,,,,,,,,,
12,THE CHRISTMAS WEDDING;by James Patterson and Richard DiLallo;5 weeks on the list,OUT OF OZ;by Gregory Maguire;3 weeks on the list,THE GIRL WHO PLAYED WITH FIRE;by Stieg Larsson;76 weeks on the list,,,THE GIRL WITH THE DRAGON TATTOO;by Stieg Larsson;,IS EVERYONE HANGING OUT WITHOUT ME?;by Mindy Kaling;3 weeks on the list,BOOMERANG;by Michael Lewis;7 weeks on the list,BORN TO RUN;by Christopher McDougall;34 weeks on the list,HOW I GOT THIS WAY;by Regis Philbin;New this week,COOK’S ILLUSTRATED COOKBOOK;by the editors at Cook’s Illustrated Magazine;,THE LOVE DARE;by Stephen Kendrick and Alex Kendrick with Lawrence Kimbrough;,NEW NEW RULES;by Maher Bill;,,,,,,,,,,
13,SMOKIN’ SEVENTEEN;by Janet Evanovich;6 weeks on the list,THE MARRIAGE PLOT;by Jeffrey Eugenides;6 weeks on the list,SQUIRREL SEEKS CHIPMUNK;by David Sedaris. Illustrated by Ian Falconer;7 weeks on the list,,,THE CHRISTMAS WEDDING;by James Patterson and Richard DiLallo;,BOOMERANG;by Michael Lewis;7 weeks on the list,THROW THEM ALL OUT;by Peter Schweizer;New this week,THE WARMTH OF OTHER SUNS;by Isabel Wilkerson;7 weeks on the list,IN THE GARDEN OF BEASTS;by Erik Larson;28 weeks on the list,ONE THOUSAND GIFTS;by Ann Voskamp;,THE POWER OF NOW;by Eckhart Tolle;,BOOMERANG;by Michael Lewis;,,,,,,,,,,
14,THE OLD REPUBLIC: REVAN;by Drew Karpyshyn;New this week,LOST DECEMBER;by Richard Paul Evans;3 weeks on the list,A SECRET KEPT;by Tatiana de Rosnay;10 weeks on the list,,,1Q84;by Haruki Murakami;,NEW NEW RULES;by Maher Bill;New this week,"THINKING, FAST AND SLOW;by Daniel Kahneman;4 weeks on the list",THE BIG SHORT;by Michael Lewis;39 weeks on the list,AN INVISIBLE THREAD;by Laura L. Schroff;2 weeks on the list,GOODNIGHT IPAD;by Ann Droyd;,PREVENT AND REVERSE HEART DISEASE;by Caldwell B. Esselstyn Jr.;,THROW THEM ALL OUT;by Peter Schweizer;,,,,,,,,,,
15,THE MARRIAGE PLOT;by Jeffrey Eugenides;6 weeks on the list,HOTEL VENDOME;by Danielle Steel;3 weeks on the list,ROOM;by Emma Donoghue;29 weeks on the list,,,THE SNOW ANGEL;by Glenn Beck;,CATHERINE THE GREAT;by Robert K. Massie;2 weeks on the list,IS EVERYONE HANGING OUT WITHOUT ME?;by Mindy Kaling;3 weeks on the list,DRIVE;by Daniel H. Pink;23 weeks on the list,NEW NEW RULES;by Maher Bill;New this week,THE DUKAN DIET;by Pierre Dukan;,AWKWARD FAMILY PHOTOS;by Mike Bender and Doug Chernack;,"THINKING, FAST AND SLOW;by Daniel Kahneman;",,,,,,,,,,
